Title,Artist,BPM,Energy,Key,Danceability,Valence,Popularity,Acousticness,Length,Release
Tamo Bien,Enrique Iglesias,126,83,1A,77,67,66,4,3:05,2025
...Baby One More Time,Britney Spears,93,70,5A,76,91,88,20,3:31,1999
I Will Wait,Mumford & Sons,131,76,3B,48,45,76,1,4:36,2012
Running Up That Hill (A Deal With God),Kate Bush,108,55,5A,63,19,87,72,4:58,1985
Crazy In Love (feat. JAY-Z),Beyoncé,99,77,6A,65,68,82,0,3:56,2003
Yellow,Coldplay,173,66,1B,43,28,93,0,4:26,2000
Good Day To Have A Great Day,Russell Dickerson,92,83,11B,69,82,52,15,3:01,2024
The Winner Takes It All,ABBA,126,79,3B,45,52,88,57,4:54,1980
Right Round,Flo Rida,125,67,8A,72,71,87,1,3:24,2009
Guiding Light,Mumford & Sons,100,69,9B,55,30,60,6,3:37,2018
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,119,82,3B,71,87,87,21,4:51,1987
Count on Me,Bruno Mars,89,39,8B,59,50,83,85,3:17,2010
Rakata,Wisin & Yandel,96,79,4B,87,72,80,3,2:52,2005
Livin' On A Prayer,Bon Jovi,123,89,9A,53,79,84,8,4:09,1986
Time After Time,Cyndi Lauper,130,45,8B,73,29,84,49,4:01,1983
Wish I Didn't Know Now,Ella Langley,110,60,8B,43,28,74,25,4:26,2025
Don't Go Breaking My Heart,Elton John,131,84,7B,73,78,84,15,4:35,1975
Summertime,DJ Jazzy Jeff & The Fresh Prince,95,54,9B,68,47,67,5,4:30,1991
Castaway,Zac Brown Band,101,78,4B,63,93,66,15,3:08,2015
Walking On A Dream,Empire Of The Sun,127,70,5A,87,72,90,26,3:18,2008
Assassin,Sultan + Shepard,120,69,1B,64,9,59,6,5:26,2021
I'm Still Standing,Elton John,177,90,6B,51,77,88,36,3:03,1983
Just Dance,Lady Gaga,119,74,12B,82,75,82,3,4:01,2008
Sweet Home Alabama,Lynyrd Skynyrd,98,61,9B,60,89,86,18,4:43,1974
No Lie,Sean Paul,102,88,8A,74,46,90,5,3:41,2018
JUMP (feat. Steve Vai & Travis Barker) - Coca-Cola Anthem for the FIFA World Cup 26™,J Balvin,130,72,8B,53,14,52,0,3:28,2026
Rockin' in the Free World,Neil Young,132,88,9A,49,52,51,0,4:41,2004
Total Eclipse of the Heart,Bonnie Tyler,130,72,4B,43,19,86,14,4:27,2009
GOOD TIME,Niko Moon,138,59,6B,80,69,67,9,3:34,2021
American Girl,Tom Petty and the Heartbreakers,114,73,10B,56,77,58,45,3:30,2008
Homewrecker,sombr,100,92,3B,46,53,93,5,3:29,2026
Badlands (with Gracie Abrams),Mumford & Sons,126,30,6B,71,32,68,85,2:58,2026
In the Air Tonight - 2015 Remaster,Phil Collins,190,24,7A,45,30,84,55,5:36,1981
Can't Hold Us (feat. Ray Dalton),Macklemore,146,93,9A,63,88,89,3,4:18,2012
Body Like A Back Road,Sam Hunt,99,46,7B,73,66,71,45,2:45,2017
Genie In a Bottle,Christina Aguilera,176,80,4A,63,91,85,21,3:37,1999
Calma - Alan Walker Remix,Pedro Capó,127,60,10B,81,58,53,10,3:13,2019
House Party,Sam Hunt,104,86,5B,75,86,73,11,3:10,2014
Blink Twice,Shaboozey,110,59,11B,62,26,73,21,2:46,2025
Bloodline,Alex Warren,128,88,9A,62,65,84,36,3:02,2025
Uptown Funk (feat. Bruno Mars),Mark Ronson,115,61,7A,86,93,90,1,4:29,2015
