#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND,Key
162,Hymn for the Weekend,Coldplay,2015-12-04,2026-07-02,90,69,49,-6,41,4:18,21,86,171,301,5A
22,Levitating (feat. DaBaby),Dua Lipa,2020-03-27,2026-07-02,103,83,70,-4,92,3:23,1,86,53,4061,10A
126,Nothing's Gonna Stop Us Now,Starship,1987-07-27,2026-07-02,96,80,64,-5,53,4:30,3,86,126,7705,2B
117,One Less Lonely Girl,Justin Bieber,2009-01-01,2026-07-02,87,75,56,-4,73,3:49,16,86,30,7352,12B
122,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1972-05-19,2026-07-02,137,53,60,-9,34,4:41,43,86,7,7920,6B
127,September,"Earth, Wind & Fire",1978-11-18,2026-07-02,126,83,67,-8,98,3:36,15,86,32,6424,11B
115,Shape of My Heart,Backstreet Boys,2000-11-21,2026-07-02,96,79,57,-4,52,3:50,25,86,175,2583,10B
139,Total Eclipse of the Heart,Bonnie Tyler,2009-03-26,2026-07-02,130,72,43,-6,19,4:27,14,86,140,7371,4B
97,Where Is The Love?,Black Eyed Peas,2003-06-24,2026-07-02,94,70,83,-3,81,4:32,11,86,169,3227,7B
137,Your Love,The Outfield,1985-06-29,2026-07-02,130,65,58,-12,62,3:36,12,86,138,3017,12B
128,(I Just) Died In Your Arms,Cutting Crew,1986-01-01,2026-07-02,125,73,63,-11,51,4:40,2,85,127,6827,10A
114,Genie In a Bottle,Christina Aguilera,1999,2026-07-02,176,80,63,-7,91,3:37,21,85,123,5777,4A
116,Hung Up,Madonna,2005-11-11,2026-07-02,125,65,65,-8,41,5:37,0,85,29,8010,7A
130,Mr. Blue Sky,Electric Light Orchestra,1977,2026-07-02,178,34,39,-10,48,5:03,65,85,128,5114,7B
40,Wagon Wheel,Darius Rucker,2013-01-01,2026-07-02,148,66,54,-7,58,4:58,46,85,64,3625,11B
131,American Pie,Don McLean,1971,2026-07-02,138,48,53,-12,49,8:36,70,84,129,5303,9B
43,Bloodline,Alex Warren,2025-07-18,2026-07-02,128,88,62,-5,65,3:02,36,84,97,2557,9A
144,Boogie Wonderland (with The Emotions),"Earth, Wind & Fire",1979-06,2026-07-02,132,76,80,-11,96,4:48,8,84,178,2078,7A
39,Chicken Fried,Zac Brown Band,2008-11-17,2026-07-02,170,71,57,-4,81,3:58,65,84,69,2097,2B
132,Don't Go Breaking My Heart,Elton John,1975-10-24,2026-07-02,131,84,73,-9,78,4:35,15,84,70,7233,7B
60,Down,Jay Sean,2009-01-01,2026-07-02,132,68,73,-4,73,3:32,1,84,79,8683,10B
133,In the Air Tonight - 2015 Remaster,Phil Collins,1981-01-01,2026-07-02,190,24,45,-14,30,5:36,55,84,136,8246,7A
143,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,1971-10-01,2026-07-02,139,87,76,-9,82,3:19,41,84,144,1539,12B
147,Come On Eileen,Dexys Midnight Runners,1982-07-22,2026-07-02,107,66,45,-7,78,4:47,66,83,148,9203,8A
58,Crazy In Love (feat. JAY-Z),Beyoncé,2003-06-24,2026-07-02,99,77,65,-7,68,3:56,0,82,77,3304,6A
99,Fireflies,Owl City,2009-01-01,2026-07-02,180,66,51,-7,47,3:48,3,82,115,9578,5B
23,I Gotta Feeling,Black Eyed Peas,2009-01-01,2026-07-02,128,77,74,-6,61,4:49,9,82,14,2792,9B
110,Just Dance,Lady Gaga,2008-01-01,2026-07-02,119,74,82,-5,75,4:01,3,82,120,8482,12B
154,Message In A Bottle,The Police,1979-10-02,2026-07-02,151,81,58,-7,87,4:50,3,82,146,5433,12A
134,Your Song,Elton John,1970-04-10,2026-07-02,128,32,55,-11,32,4:01,83,82,135,1515,5B
151,Don't You (Forget About Me),Simple Minds,1985,2026-07-02,111,82,66,-7,68,4:23,17,81,149,1242,11B
64,Just A Dream,Nelly,2010-11-12,2026-07-02,90,75,53,-6,10,3:57,4,81,83,5530,2B
32,Miles On It,Marshmello,2024-05-03,2026-07-02,130,76,63,-5,79,2:48,1,81,17,7018,7B
113,Party In The U.S.A.,Miley Cyrus,2009-01-01,2026-07-02,96,70,65,-5,47,3:22,0,81,174,2646,2B
108,You Belong With Me,Taylor Swift,2008-11-11,2026-07-02,130,75,69,-4,44,3:52,18,81,190,7301,2B
30,Knee Deep (feat. Jimmy Buffett),Zac Brown Band,2010-09-20,2026-07-02,91,58,72,-8,61,3:23,43,80,6,8467,5B
8,Lil Boo Thang,Paul Russell,2023-08-18,2026-07-02,114,70,85,-3,92,1:54,15,80,40,7612,8B
135,She Drives Me Crazy,Fine Young Cannibals,1988-01-01,2026-07-02,109,69,80,-6,97,3:35,19,80,137,6337,10B
74,ALGO TÚ,Shakira,2026-03-04,2026-07-02,120,87,64,-5,37,3:34,1,79,189,7634,6A
148,Every Little Thing She Does Is Magic,The Police,1981-10-02,2026-07-02,82,77,56,-10,43,4:20,12,79,2,5871,10B
28,Life is a Highway,Rascal Flatts,2006-01-01,2026-07-02,103,93,56,-6,56,4:35,0,79,16,7675,7B
152,Rosanna,TOTO,1982-04-08,2026-07-02,81,51,37,-13,74,5:31,2,79,179,6486,6A
142,Another One Bites The Dust - Remastered 2011,Queen,1980-06-27,2026-07-02,110,53,93,-6,76,3:34,12,78,143,8946,4A
37,Drift Away,Uncle Kracker,2002-07-09,2026-07-02,152,66,58,-5,86,4:15,18,78,62,8691,1B
68,Échame La Culpa,Luis Fonsi,2019-02-01,2026-07-02,96,90,73,-4,65,2:53,4,78,165,3610,8B
34,Days Like This,Late Night Thoughts,2025-10-17,2026-07-02,120,67,69,-6,63,2:54,19,77,60,5102,8B
14,Geronimo,Sheppard,2015-01-12,2026-07-02,142,78,71,-6,45,3:38,45,77,46,450,9B
