#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND
39,Push,Matchbox Twenty,1996-10-01,2026-07-07,168,67,42,-8,48,3:58,1,80,59,811
90,Right Here Right Now,Jesus Jones,1991-01-28,2026-07-07,107,61,66,-14,72,3:09,1,59,82,9052
59,Round Here,Counting Crows,1993-09-14,2026-07-07,94,48,31,-9,19,5:31,14,68,39,1832
49,Run-Around,Blues Traveler,1994-01-01,2026-07-07,152,87,63,-7,88,4:39,9,74,8,382
13,Save Me,Remy Zero,2001-09-18,2026-07-07,96,84,32,-9,26,3:59,0,68,31,7413
21,Save Tonight,Eagle-Eye Cherry,1998-07-13,2026-07-07,120,69,55,-9,58,3:59,0,70,42,9663
107,Semi-Charmed Life,Third Eye Blind,1997-04-08,2026-07-07,102,86,64,-7,70,4:28,1,86,111,2161
14,Shimmer,Fuel,1998-03-31,2026-07-07,115,80,48,-6,43,3:34,0,69,32,3902
36,Shine,Collective Soul,1994-03-22,2026-07-07,150,42,54,-9,36,5:06,30,78,1,811
40,Slide,The Goo Goo Dolls,1998,2026-07-07,112,84,40,-4,48,3:32,0,79,0,8501
106,Song 2 - 2012 Remaster,Blur,1997-02-10,2026-07-07,130,79,67,-7,92,2:01,0,85,90,9942
85,Spiderwebs,No Doubt,1995-10-10,2026-07-07,143,85,49,-7,66,4:26,4,70,76,1154
24,Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,1996-06-05,2026-07-07,95,61,73,-7,43,5:36,14,57,45,6364
26,Steal My Sunshine,LEN,1999-05-25,2026-07-07,191,83,41,-11,68,4:25,39,70,47,6755
18,Superman (It's Not Easy),Five For Fighting,2000-09-26,2026-07-07,102,42,38,-9,13,3:41,7,71,36,5481
2,Take A Picture,Filter,1999-08-24,2026-07-07,99,78,54,-8,28,6:03,0,70,20,7332
66,The Distance,CAKE,1996-09-16,2026-07-07,184,75,46,-8,90,2:59,1,72,71,9670
3,The Freshmen,The Verve Pipe,1996-03-25,2026-07-07,100,51,57,-9,28,4:29,8,65,21,6106
94,The Impression That I Get,The Mighty Mighty Bosstones,1997,2026-07-07,91,65,55,-17,73,3:15,4,71,84,5939
63,The Middle,Jimmy Eat World,2001-07-17,2026-07-07,162,85,64,-5,90,2:45,4,85,70,602
93,The Space Between,Dave Matthews Band,2001-02-27,2026-07-07,170,73,41,-6,21,4:02,5,62,63,882
7,The Way,Fastball,1998-01-01,2026-07-07,121,88,65,-6,91,4:17,14,71,25,2462
50,The World I Know,Collective Soul,1995-03-14,2026-07-07,77,70,51,-5,39,4:15,5,70,77,7576
111,This Love,Maroon 5,2002,2026-07-07,95,86,71,-5,81,3:26,5,89,94,3638
64,Til I Hear It From You,Gin Blossoms,1996-01-01,2026-07-07,124,76,58,-8,73,3:52,8,64,106,6397
27,Torn,Natalie Imbruglia,1997-11-10,2026-07-07,96,89,57,-5,61,4:04,6,83,48,7545
25,Tubthumping,Chumbawamba,1997-09-01,2026-07-07,101,88,35,-7,61,4:38,13,76,46,2132
45,Two Princes,Spin Doctors,1991,2026-07-07,104,91,54,-11,83,4:16,0,78,12,8210
87,Walk On the Ocean,Toad The Wet Sprocket,1991-08-27,2026-07-07,183,50,40,-8,32,2:58,24,58,101,2019
77,Where Have All the Cowboys Gone?,Paula Cole,1996,2026-07-07,129,83,59,-6,62,4:23,4,60,72,4400
104,Where Is My Mind? - 2007 Remaster,Pixies,1988-03-21,2026-07-07,81,44,52,-14,25,3:54,2,81,88,5210
53,Wish You Were Here,Incubus,2001-10-23,2026-07-07,170,77,25,-7,35,3:32,0,77,65,6913
67,Yellow Ledbetter,Pearl Jam,1991,2026-07-07,141,35,50,-11,29,5:03,29,79,3,3614
20,You Get What You Give,New Radicals,1998-01-01,2026-07-07,114,90,62,-5,74,5:00,17,85,41,6753
92,You Wanted More,Tonic,1999-11-09,2026-07-07,183,96,37,-5,63,3:51,0,57,102,789
102,You Were Meant For Me,Jewel,1995-02-28,2026-07-07,112,33,58,-8,41,4:14,79,67,87,3257
108,Zombie - 2025 Remastered,The Cranberries,1994,2026-07-07,167,73,28,-6,17,5:05,0,87,91,5549
58,Everything You Want,Vertical Horizon,1999-06-14,2026-07-07,94,76,64,-6,74,4:17,5,69,68,4148
